cruise_name,vessel_name_abbr,zone,station,event_type,station_event_id,alternative_event_id,event_date,year,month,day,time_start,time_end,sampling_duration_minutes,day_night,time_zone_code,minimum_sampling_depth_meters,maximum_sampling_depth_meters,tow_speed_kilometers_per_hour,latitude_start_decdeg,longitude_start_decdeg,latitude_end_decdeg,longitude_end_decdeg,bottom_depth_meters,wind_direction_degrees,wind_speed_kilometers_per_hour,wave_height_meters,swell_height_meters,weather_description,comments,day_of_year,dataset_doi
IYS2022,TINRO,3,1,Bongo,IYS2022-TINRO-3-1-Bongo-1,,2022-03-02,2022,3,2,02:58:00,NA,-0,Day,UTC,0,250,,48.6283,-172.365,,,,,,,,,,61,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,3,Bongo,IYS2022-TINRO-3-3-Bongo-1,,2022-03-02,2022,3,2,00:31:00,NA,-0,Day,UTC,0,250,,47.8853,-169.4717,,,,,,,,,,61,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,4,Bongo,IYS2022-TINRO-3-4-Bongo-1,,2022-03-04,2022,3,4,05:12:00,NA,-0,Day,UTC,0,250,,47.1218,-170.2465,,,,,,,,,,63,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,5,Bongo,IYS2022-TINRO-3-5-Bongo-1,,2022-03-04,2022,3,4,15:38:00,NA,-0,Night,UTC,0,255,,46.286,-169.4083,,,,,,,,,,63,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,6,Bongo,IYS2022-TINRO-3-6-Bongo-1,,2022-03-05,2022,3,5,00:41:00,NA,-0,Day,UTC,0,250,,45.4917,-168.5283,,,,,,,,,,64,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,7,Bongo,IYS2022-TINRO-3-7-Bongo-1,,2022-03-05,2022,3,5,08:45:00,NA,-0,Night,UTC,0,250,,45.3843,-167.1688,,,,,,,,,,64,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,8,Bongo,IYS2022-TINRO-3-8-Bongo-1,,2022-03-05,2022,3,5,17:39:00,NA,-0,Day,UTC,0,250,,46.3983,-167.2067,,,,,,,,,,64,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,9,Bongo,IYS2022-TINRO-3-9-Bongo-1,,2022-03-06,2022,3,6,03:30:00,NA,-0,Day,UTC,0,250,,47.5033,-167.2575,,,,,,,,,,65,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,10,Bongo,IYS2022-TINRO-3-10-Bongo-1,,2022-03-06,2022,3,6,12:15:00,NA,-0,Night,UTC,0,250,,48.5393,-167.2583,,,,,,,,,,65,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,11,Bongo,IYS2022-TINRO-3-11-Bongo-1,,2022-03-07,2022,3,7,22:34:00,NA,-0,Day,UTC,0,260,,49.0483,-169.03,,,,,,,,,,66,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,12,Bongo,IYS2022-TINRO-3-12-Bongo-1,,2022-03-07,2022,3,7,11:15:00,NA,-0,Night,UTC,0,250,,49.535,-167.3166,,,,,,,,,,66,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,13,Bongo,IYS2022-TINRO-3-13-Bongo-1,,2022-03-08,2022,3,8,02:05:00,NA,-0,Day,UTC,0,250,,50.0767,-165.1367,,,,,,,,,,67,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,14,Bongo,IYS2022-TINRO-3-14-Bongo-1,,2022-03-08,2022,3,8,15:13:00,NA,-0,Night,UTC,0,250,,50.5583,-163.0283,,,,,,,,,,67,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,15,Bongo,IYS2022-TINRO-3-15-Bongo-1,,2022-03-09,2022,3,9,02:50:00,NA,-0,Day,UTC,0,250,,50.8883,-160.9483,,,,,,,,,,68,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,16,Bongo,IYS2022-TINRO-3-16-Bongo-1,,2022-03-09,2022,3,9,17:52:00,NA,-0,Day,UTC,0,250,,51.2967,-158.3767,,,,,,,,,,68,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,17,Bongo,IYS2022-TINRO-3-17-Bongo-1,,2022-03-09,2022,3,9,07:40:00,NA,-0,Night,UTC,0,250,,51.8758,-156.0355,,,,,,,,,,68,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,18,Bongo,IYS2022-TINRO-3-18-Bongo-1,,2022-03-10,2022,3,10,01:59:00,NA,-0,Day,UTC,0,255,,50.87,-156.1033,,,,,,,,,,69,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,19,Bongo,IYS2022-TINRO-3-19-Bongo-1,,2022-03-10,2022,3,10,17:42:00,NA,-0,Day,UTC,0,257,,49.8833,-156.0066,,,,,,,,,,69,https://doi.org/10.21966/ymv6-8024
IYS2022,TINRO,3,20,Bongo,IYS2022-TINRO-3-20-Bongo-1,,2022-03-11,2022,3,11,05:04:00,NA,-0,Night,UTC,0,255,,48.8195,-155.6565,,,,,,,,,,70,https://doi.org/10.21966/ymv6-8024
