station_event_id,net_number,catch_id,scientific_name,verbatimIdentification,taxonomic_rank,prop_total_sample,sf_proc,prop_sf_proc,lifestage,sex,common_name,identified_by,date_identified,preservation_method,catch_count,size_range,count_method,abundance_m3,flowmeter_volume_filtered_m3,depth_volume_filtered_m3,comments
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-1,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C6,female,,,,Formalin,736,,Total,15.001273885350319,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-3,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C5,,,,,Formalin,224,,Total,4.565605095541401,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-4,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C4,,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-5,Scolecithricella minor,Scolethricella minor,Species,,,,C6,female,,,,Formalin,128,,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-6,Scolecithricella minor,Scolethricella minor,Species,,,,C6,male,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-7,Scolecithricella minor,Scolethricella minor,Species,,,,C45,,,,,Formalin,128,,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-9,Oithona spinirostris,Oithona spinirostris,Species,,,,C6,female,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-10,Oithona,Oithona spp.,Genus,,,,C5,,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-13,Metridia pacifica,Metridia pacifica,Species,,,,C6,female,,,,Formalin,96,,Total,1.956687898089172,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-15,Metridia pacifica,Metridia pacifica,Species,,,,C5,,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-16,Metridia pacifica,Metridia pacifica,Species,,,,C4,,,,,Formalin,128,,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-17,Metridia,Metridia sp.,Genus,,,,C3,,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-18,Metridia,Metridia sp.,Genus,,,,C2,,,,,Formalin,96,,Total,1.956687898089172,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-20,Eucalanus bungii,Eucalanus bungii,Species,,,,C6,female,,,,Formalin,48,,Total,0.978343949044586,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-21,Eucalanus bungii,Eucalanus bungii,Species,,,,C6,male,,,,Formalin,8,,Total,0.16305732484076432,49.0625,,
