"","Station","Expedition","Vessel","TaxGroup","Taxon","original_id","Dev_stage","Sex","Length","Abundance_m3","Abundance_m2","eventID"
"1","F 46-144","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C5","","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"2","F 46-144","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C6","M","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"3","F 46-144","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C3","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"4","F 46-144","IYS2022","Franklin","copepod","Gaetanus spp. C1-C4","Gaetanus spp.","C1","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"5","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C3","","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"6","F 46-144","IYS2022","Franklin","copepod","Euchirella rostrata C4-C6","Euchirella rostrata","C5","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"7","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C2","","",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"8","F 46-144","IYS2022","Franklin","fish","Fish","Sardinops sagax","preflexion","","< 5mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"9","F 46-144","IYS2022","Franklin","copepod","Clausocalanus spp.","Clausocalanus lividus","C5","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"10","F 46-144","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C6","F","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"11","F 46-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C6","F","",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"12","F 46-144","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C5","","",0.13113,39.339,"IYS2022-Franklin-5-46-144-Bongo-1"
"13","F 46-144","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C5","F","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"14","F 46-144","IYS2022","Franklin","chaetognath","Eukrohnia hamata","Eukrohnia hamata","","","> 10mm",0.72119,216.357,"IYS2022-Franklin-5-46-144-Bongo-1"
"15","F 46-144","IYS2022","Franklin","polychaete","Polychaeta","Pelagobia longicirrata","","","< 5mm",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"16","F 46-144","IYS2022","Franklin","cnidarian","Siphonophorae","Siphonophora spp.","larvae","","< 5mm",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"17","F 46-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C5","F","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"18","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C3","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"19","F 46-144","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura spp.","","","< 5mm",7.34306,2202.918,"IYS2022-Franklin-5-46-144-Bongo-1"
"20","F 46-144","IYS2022","Franklin","gastropod","Cliopsis krohnii","Cliopsis krohnii","","",">= 5mm < 10mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"21","F 46-144","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","juvenile","",">= 5mm < 10mm",0.02459,7.377,"IYS2022-Franklin-5-46-144-Bongo-1"
"22","F 46-144","IYS2022","Franklin","chaetognath","Eukrohnia hamata","Eukrohnia hamata","","",">= 5mm < 10mm",1.7702,531.06,"IYS2022-Franklin-5-46-144-Bongo-1"
"23","F 46-144","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","adult","F","",0.0164,4.92,"IYS2022-Franklin-5-46-144-Bongo-1"
"24","F 46-144","IYS2022","Franklin","euphausiid","Euphausiidae","Euphausiidae spp.","calyptopis","","< 5mm",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"25","F 46-144","IYS2022","Franklin","cnidarian","Siphonophorae","Muggiaea atlantica","nectophore","",">= 5mm < 10mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"26","F 46-144","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C6","M","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"27","F 46-144","IYS2022","Franklin","gastropod","Clione limacina","Clione limacina","","",">= 5mm < 10mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"28","F 46-144","IYS2022","Franklin","copepod","Aetideidae","Aetideus pacificus","C5","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"29","F 46-144","IYS2022","Franklin","copepod","Eucalanus spp. C1-C4","Eucalanus bungii","C4","M","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"30","F 46-144","IYS2022","Franklin","copepod","Paracalanus parvus","Paracalanus parvus","C6","F","",3.14703,944.109,"IYS2022-Franklin-5-46-144-Bongo-1"
"31","F 46-144","IYS2022","Franklin","copepod","Ctenocalanus vanus","Ctenocalanus vanus","C5","","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"32","F 46-144","IYS2022","Franklin","ostracod","Ostracoda","Discoconchoecia elegans","","","< 5mm",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"33","F 46-144","IYS2022","Franklin","copepod","Clausocalanus spp.","Clausocalanus arcuicornis","C5","","",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"34","F 46-144","IYS2022","Franklin","appendicularian","Fritillaria spp.","Fritillaria pellucida","","","< 5mm",0.26225,78.675,"IYS2022-Franklin-5-46-144-Bongo-1"
"35","F 46-144","IYS2022","Franklin","copepod","Eucalanus spp. C1-C4","Eucalanus bungii","C4","F","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"36","F 46-144","IYS2022","Franklin","gastropod","Atlanta spp.","Atlanta spp.","","","< 5mm",0.13113,39.339,"IYS2022-Franklin-5-46-144-Bongo-1"
"37","F 46-144","IYS2022","Franklin","copepod","Gaetanus spp. C1-C4","Gaetanus spp.","C2","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"38","F 46-144","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C3","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"39","F 46-144","IYS2022","Franklin","copepod","Spinocalanus longicornis","Spinocalanus longicornis","C5","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"40","F 46-144","IYS2022","Franklin","copepod","Harpacticoida","Clytemnestra scutellata","C6","M","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"41","F 46-144","IYS2022","Franklin","copepod","Euchirella rostrata C4-C6","Euchirella rostrata","C4","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"42","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C2","","",5.24504,1573.512,"IYS2022-Franklin-5-46-144-Bongo-1"
"43","F 46-144","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina","","","< 2mm",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"44","F 46-144","IYS2022","Franklin","chaetognath","Chaetognatha","Chaetognatha spp.","juvenile","","< 5mm",4.72054,1416.162,"IYS2022-Franklin-5-46-144-Bongo-1"
"45","F 46-144","IYS2022","Franklin","copepod","Lucicutia flavicornis","Lucicutia flavicornis","C5","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"46","F 46-144","IYS2022","Franklin","thaliacea","Doliolidae","Doliolid spp.","","","< 5mm",3.67153,1101.459,"IYS2022-Franklin-5-46-144-Bongo-1"
"47","F 46-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C6","M","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"48","F 46-144","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris spp.","","","< 5mm",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"49","F 46-144","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C1","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"50","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C4","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"51","F 46-144","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C6","M","",0.13113,39.339,"IYS2022-Franklin-5-46-144-Bongo-1"
"52","F 46-144","IYS2022","Franklin","copepod","Clausocalanus spp.","Clausocalanus arcuicornis","C6","F","",3.14703,944.109,"IYS2022-Franklin-5-46-144-Bongo-1"
"53","F 46-144","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C2","","",8.39207,2517.621,"IYS2022-Franklin-5-46-144-Bongo-1"
"54","F 46-144","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris septentrionalis","","",">= 5mm < 10mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"55","F 46-144","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C4","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"56","F 46-144","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","",">= 5mm < 10mm",0.45894,137.682,"IYS2022-Franklin-5-46-144-Bongo-1"
"57","F 46-144","IYS2022","Franklin","thaliacea","Doliolidae","Doliolid spp. (old nurse)","old nurse","","< 5mm",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"58","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C4","","",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"59","F 46-144","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C3","","",7.86756,2360.268,"IYS2022-Franklin-5-46-144-Bongo-1"
"60","F 46-144","IYS2022","Franklin","copepod","Aetideidae","Aetideus pacificus","C6","F","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"61","F 46-144","IYS2022","Franklin","chaetognath","Pseudosagitta lyra","Pseudosagitta scrippsae","","","> 10mm",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
