verbatimIdentification,lifeStage,sex,eventID,identificationQualifier,scientificName,taxonomicAuthority,taxonomicStatus,taxonomicRank,kingdom,phylum,class,order,family,genus,scientificNameID,occurrenceID,occurrenceStatus,preparations,specificEpithet
Pseudocalanus spp.,Adult,female,IYS2022-TINRO-3-1-Bongo-1,sp. indet.,Pseudocalanus,"Boeck, 1872",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,IYS2022-TINRO-3-1-Bongo-1-1,present,Formalin,
Pseudocalanus spp.,Adult,male,IYS2022-TINRO-3-1-Bongo-1,sp. indet.,Pseudocalanus,"Boeck, 1872",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,IYS2022-TINRO-3-1-Bongo-1-2,present,Formalin,
Pseudocalanus spp.,V,,IYS2022-TINRO-3-1-Bongo-1,sp. indet.,Pseudocalanus,"Boeck, 1872",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,IYS2022-TINRO-3-1-Bongo-1-3,present,Formalin,
Pseudocalanus spp.,IV,,IYS2022-TINRO-3-1-Bongo-1,sp. indet.,Pseudocalanus,"Boeck, 1872",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,IYS2022-TINRO-3-1-Bongo-1-4,present,Formalin,
Scolethricella minor,Adult,female,IYS2022-TINRO-3-1-Bongo-1,,Scolecithricella minor,"(Brady, 1883)",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,urn:lsid:marinespecies.org:taxname:104811,IYS2022-TINRO-3-1-Bongo-1-5,present,Formalin,minor
Scolethricella minor,Adult,male,IYS2022-TINRO-3-1-Bongo-1,,Scolecithricella minor,"(Brady, 1883)",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,urn:lsid:marinespecies.org:taxname:104811,IYS2022-TINRO-3-1-Bongo-1-6,present,Formalin,minor
Scolethricella minor,IV-V,,IYS2022-TINRO-3-1-Bongo-1,,Scolecithricella minor,"(Brady, 1883)",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,urn:lsid:marinespecies.org:taxname:104811,IYS2022-TINRO-3-1-Bongo-1-7,present,Formalin,minor
Scolethricella ovata,Adult,female,IYS2022-TINRO-3-1-Bongo-1,,Scolecithricella ovata,"(Farran, 1905)",unaccepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,urn:lsid:marinespecies.org:taxname:104814,IYS2022-TINRO-3-1-Bongo-1-8,present,Formalin,ovata
Oithona spinirostris,Adult,female,IYS2022-TINRO-3-1-Bongo-1,sp. indet.,Oithona spinirostris,"Claus, 1863",unaccepted,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,urn:lsid:marinespecies.org:taxname:157737,IYS2022-TINRO-3-1-Bongo-1-9,present,Formalin,spinirostris
Oithona spp.,V,,IYS2022-TINRO-3-1-Bongo-1,sp. indet.,Oithona,"Baird, 1843",accepted,Genus,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,urn:lsid:marinespecies.org:taxname:106485,IYS2022-TINRO-3-1-Bongo-1-10,present,Formalin,
